#Home Points, Away Points, Home Goals Shooten, Home Goals Got, Away Goals Shooten, Away Goals Got, Result(0 ^= draw, 1 ^= homeWin, 2 ^= awayWin), QuoteHome Bwin, QuoteDraw Bwin, QuoteAway Bwin 
10,6,7,5,8,9,1
13,10,17,8,13,11,1
9,4,10,10,3,10,1
9,11,10,10,10,7,2
6,7,8,9,10,14,1
18,12,15,5,11,10,1
4,13,3,11,9,5,2
6,5,8,11,10,15,3
14,16,11,7,19,9,2
10,5,14,13,5,12,3
11,4,9,9,5,11,1
3,9,4,10,10,11,1
9,9,11,10,9,9,3
7,17,10,15,14,4,2
6,14,6,13,12,9,1
6,4,11,16,3,12,2
9,7,11,13,9,12,2
20,12,17,4,11,12,2
7,10,10,18,11,10,3
4,11,5,12,15,14,1
16,21,10,5,17,5,3
10,14,9,9,10,9,3
19,6,21,10,6,11,1
22,6,18,6,11,17,1
7,9,4,12,12,17,1
10,22,13,13,27,12,3
14,7,12,12,8,13,1
15,8,11,10,13,21,1
6,9,8,17,9,13,2
15,17,12,12,11,6,3
11,20,14,13,17,5,3
11,11,16,17,10,10,3
12,18,15,14,15,11,1
6,16,11,21,12,12,1
9,25,15,23,22,6,2
21,18,18,6,11,6,1
8,12,14,25,17,18,3
12,17,11,11,15,13,3
23,10,27,12,10,15,1
12,11,12,15,13,13,1
7,6,9,16,10,20,1
28,26,24,7,31,13,1
10,15,11,19,16,16,1
11,10,14,17,13,17,3
18,9,18,16,16,27,1
13,15,19,20,17,15,1
18,9,11,7,12,21,1
16,9,12,13,16,25,3
18,24,16,13,19,6,3
6,13,11,24,14,14,2
15,31,16,19,27,8,2
15,21,18,17,21,16,1
10,21,17,26,14,7,3
9,6,16,30,11,25,2
11,13,15,19,14,19,3
19,16,16,13,21,21,3
26,17,32,16,13,14,1
25,9,19,6,12,24,1
16,12,15,14,16,19,3
34,12,29,9,17,21,1
13,9,18,21,17,33,1
17,28,22,22,21,6,2
9,18,14,26,20,17,2
22,29,16,9,38,17,1
17,15,14,20,17,21,3
14,17,16,21,17,16,3
21,20,21,18,17,14,3
15,22,17,21,16,9,2
21,16,22,18,23,22,2
31,11,22,6,20,31,1
21,9,19,16,15,28,2
18,37,18,17,31,10,3
29,9,39,19,12,28,1
17,22,22,23,23,20,2
12,18,18,23,14,20,1
9,11,12,28,20,31,3
9,16,12,28,17,21,3
18,21,19,22,22,20,1
34,25,25,7,25,21,1
19,21,25,22,19,17,3
12,17,16,28,23,25,3
28,15,19,10,23,24,1
18,19,15,25,18,17,2
38,9,31,10,19,40,1
12,32,21,32,41,19,2
9,18,19,40,19,22,2
17,12,18,23,22,36,1
21,41,22,22,33,11,2
9,18,20,42,15,26,1
18,20,24,26,26,23,3
15,11,23,25,14,30,3
22,21,20,18,21,23,1
22,31,19,17,20,10,1
25,13,26,23,17,29,3
35,37,45,20,27,8,3
25,44,24,21,35,12,2
21,18,23,24,17,29,1
26,21,27,24,26,23,3
19,21,24,26,24,27,1
16,12,24,26,24,39,1
14,38,18,30,28,9,1
25,12,21,17,15,31,2
20,36,21,25,46,21,2
12,31,23,44,20,12,2
47,22,38,13,26,27,1
15,12,16,31,23,46,3
21,27,25,29,28,25,3
12,25,26,43,21,18,3
38,20,29,11,21,26,1
34,24,22,12,26,26,3
39,19,47,21,28,28,1
22,17,27,24,20,31,3
18,25,19,32,25,24,1
25,16,26,26,18,33,1
28,50,29,26,39,13,3
13,13,25,48,26,43,3
19,20,30,32,22,28,3
23,41,28,25,31,12,1
22,21,26,28,21,32,1
25,35,25,26,22,12,3
18,22,21,32,26,30,2
26,42,21,18,51,23,3
21,27,23,29,21,18,1
16,26,18,35,25,26,3
25,26,27,30,30,26,2
41,20,32,14,31,33,1
36,25,22,12,30,28,1
43,14,51,23,27,50,2
21,29,21,36,29,26,3
51,18,39,13,21,33,1
14,28,28,45,28,26,3
29,43,28,26,51,25,2
29,54,31,26,41,14,3
30,39,30,27,29,16,2
17,24,29,50,25,30,1
25,17,34,35,19,36,1
27,15,26,27,28,45,1
18,22,22,35,22,37,1
25,44,27,31,33,14,2
27,20,22,20,31,34,1
55,25,42,15,28,33,1
24,29,25,32,28,27,1
15,28,28,47,37,37,2
20,20,32,36,31,50,2
42,21,31,17,23,35,1
46,30,52,25,28,27,1
22,30,22,38,32,27,1
17,30,21,39,31,29,1
47,30,35,15,24,21,2
58,47,47,17,35,17,2
29,20,28,28,32,38,3
30,45,33,29,33,17,2
30,15,32,31,28,50,2
31,49,40,37,54,25,3
21,20,23,37,23,40,1
25,25,30,38,24,39,3
30,27,28,29,26,32,1
23,33,33,50,26,21,3
27,32,26,34,41,38,1
20,30,23,43,34,31,3
18,24,32,52,26,37,2
21,33,33,39,30,29,1
34,30,27,22,29,29,3
50,30,55,26,34,35,2
26,58,25,40,48,19,3
50,24,37,18,34,51,1
48,26,35,18,31,39,1
31,24,29,29,34,54,1
26,21,31,41,23,43,1
31,18,34,31,35,56,1
32,24,41,39,36,39,2
33,35,30,32,27,22,3
27,50,30,40,55,29,1
27,53,25,40,40,18,2
59,51,48,19,37,18,1
