#Home Points, Away Points, Home Goals Shooten, Home Goals Got, Away Goals Shooten, Away Goals Got, Result(0 ^= draw, 1 ^= homeWin, 2 ^= awayWin), QuoteHome Bwin, QuoteDraw Bwin, QuoteAway Bwin 
2,5,-2,-3,-1,-1,1,-2,0,-1,2.3,3.3,2.75,2
-4,-10,-3,-2,0,0,-5,-4,-2,2,2.25,3.3,2.8,2
1,5,0,0,0,0,5,5,0,0,1.7,3.5,4.4,3
-18,-29,-1,-1,-1,1,-11,-9,-4,1,2.8,3.3,2.25,1
3,6,6,3,3,0,4,0,0,-2,1.6,3.6,5.0,1
-13,-8,0,0,0,0,4,2,1,1,2.9,3.3,2.2,1
14,18,6,6,3,2,8,8,4,3,1.45,4.1,6.0,1
13,14,4,3,1,3,7,5,2,3,1.45,4.1,6.0,2
-8,-3,2,2,0,-2,3,4,-2,-3,2.9,3.3,2.2,3
16,39,4,1,-1,-1,9,5,-1,-1,1.4,4.2,6.6,1
6,6,-4,-2,-2,-2,-5,-4,-4,-4,1.55,3.9,5.0,1
-9,-10,0,1,1,0,-1,2,-2,-3,2.05,3.3,3.2,3
9,10,1,-2,-1,2,-1,-4,-3,1,2.35,3.25,2.7,2
-25,-28,-4,-2,-2,0,-1,0,0,1,4.2,3.6,1.7,3
-8,-18,-8,-5,-2,-1,-12,-4,-2,-1,2.9,3.3,2.2,2
-4,-1,1,0,0,0,4,2,2,1,2.3,3.35,2.7,2
7,12,-3,-3,-3,-3,-4,-5,-5,-4,1.5,3.9,5.6,3
6,14,0,0,0,-2,0,0,0,-1,1.6,3.6,5.0,1
-1,-13,-4,-1,-3,-3,-4,3,-2,-2,2.35,3.35,2.65,2
9,14,6,5,3,2,8,7,6,2,1.55,3.7,5.4,1
-16,-28,2,1,0,0,5,4,1,1,2.4,3.3,2.6,3
-4,-7,4,2,5,2,2,1,5,2,2.3,3.3,2.75,1
9,16,2,2,1,3,5,5,3,5,1.55,3.8,5.2,1
15,24,5,5,3,0,5,5,3,0,1.55,3.8,5.2,1
8,1,2,4,1,1,-3,2,0,1,1.6,3.6,5.0,1
10,26,-1,-1,2,0,-1,-1,1,0,1.55,3.8,5.2,1
-16,-24,-7,-6,-3,-2,-12,-7,-3,-2,5.0,3.6,1.6,1
10,16,7,6,3,0,11,10,6,1,1.35,4.4,7.4,1
13,17,-3,-3,-3,-3,-1,-3,-3,-3,1.5,3.9,5.6,1
0,7,-3,-3,0,-1,-5,-5,0,-1,1.85,3.35,3.8,1
3,5,-1,2,2,0,-4,1,2,0,1.7,3.5,4.4,1
-5,-16,-5,-5,-5,-2,-7,-5,-5,-2,3.0,3.3,2.15,2
-6,-6,-4,-4,-4,-3,-7,-7,-7,-4,2.15,3.3,3.0,3
-11,-11,-6,-3,-3,-3,-10,-5,-3,-3,2.75,3.3,2.3,2
17,25,-2,-1,-1,0,-4,-3,-3,-2,1.55,3.8,5.2,1
-17,-17,0,0,-1,-3,-2,-2,-4,-5,2.6,3.3,2.4,2
-1,-6,-4,-6,-5,-3,-6,-7,-5,-2,1.95,3.3,3.5,1
5,-1,2,5,4,1,4,7,5,2,1.95,3.3,3.5,1
5,4,6,5,2,-1,4,3,-2,-5,1.5,4.1,5.2,1
-28,-47,-3,-5,-2,-3,-7,-8,-5,-7,5.6,3.9,1.5,2
-11,-17,-3,-2,0,0,-3,-2,-1,-2,2.4,3.3,2.6,3
-1,9,-5,-3,-3,-3,-2,-1,-2,-2,1.9,3.35,3.6,1
-2,-4,4,1,0,-3,3,0,-1,-5,1.9,3.35,3.6,3
21,38,8,5,3,0,10,5,4,1,1.4,4.2,6.6,1
0,0,5,2,3,0,8,2,4,1,1.85,3.4,3.75,3
12,8,3,6,5,3,7,10,8,5,1.45,4.1,6.0,1
4,-5,-3,-3,0,0,-4,-5,-1,-3,1.7,3.5,4.4,1
-28,-29,-6,-6,-3,-3,-9,-9,-5,-5,3.5,3.25,1.95,2
-2,-8,2,-1,-1,-1,-1,-5,-4,-3,2.2,3.3,2.9,1
18,29,-1,0,-1,-1,-1,1,0,-1,1.55,3.9,5.0,2
7,14,0,0,1,0,-4,-2,0,-2,1.8,3.4,4.0,1
-9,-16,0,-3,-3,0,-3,-5,-6,0,2.05,3.2,3.3,1
7,14,-3,-3,0,-2,-4,-4,-1,-2,1.45,4.2,5.7,1
7,19,4,2,2,2,6,3,3,3,1.6,3.7,4.9,3
-7,-2,-9,-6,-3,-3,-8,-4,-2,-5,2.5,3.3,2.5,3
-8,-8,-2,-2,0,-3,3,2,3,-2,2.5,3.3,2.5,2
-9,-27,0,-1,-1,-1,-3,-4,-4,-5,2.35,3.35,2.65,2
-2,-7,1,1,4,3,1,1,7,3,2.0,3.45,3.2,1
5,11,1,-2,-2,-2,3,0,-1,-1,1.8,3.4,3.95,1
-1,-8,0,0,-3,-1,0,-1,-4,-1,1.95,3.3,3.5,3
17,34,5,2,0,-3,8,4,1,-6,1.25,5.2,9.2,3
2,4,3,4,1,0,5,8,1,0,1.7,3.6,4.3,1
-10,-16,0,-3,0,-2,-2,-4,2,-1,2.2,3.35,2.85,2
0,-11,3,0,0,0,3,-2,1,1,2.35,3.25,2.7,1
30,48,2,-1,-3,-3,7,-2,-3,-3,1.2,5.75,10.5,1
-18,-27,-4,-4,-3,-3,-10,-8,-4,-3,2.3,3.35,2.7,1
11,11,5,2,5,3,4,-2,4,3,1.8,3.5,3.85,2
4,10,-4,-4,-3,0,-4,-3,-2,0,1.95,3.3,3.5,1
9,23,1,2,2,1,2,3,2,1,1.5,3.9,5.6,1
4,10,0,-3,-3,-2,1,-2,-2,-1,1.55,3.8,5.2,1
-16,-30,-3,0,3,2,-9,-4,2,1,3.4,3.5,1.9,2
